[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , Y, Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 2
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, Y,  ,  ,  ,  ,  , R, R, Y,  ] - 4
[ ,  ,  , Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, R,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , Y, Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 5
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , R, R,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , Y, Y,  ,  ,  ,  ,  , R, R, Y,  ] - 1
[ ,  ,  , Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , R, R,  ,  ,  ,  ,  , Y, R,  ,  ,  ,  ,  , Y, Y,  , Y,  ,  , Y, R, R,  , R,  ] - 4
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R, Y,  ,  ,  ,  ,  , R, R,  ,  ,  ,  ,  , R, Y,  ,  ,  , Y,  , Y, Y,  ,  ,  , R,  , R, R, Y,  ] - 2
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ] - 2
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R, R, Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , Y,  , Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  , Y,  ,  ,  ,  , R, R, Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , Y,  , Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 1
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y,  , Y,  ,  ,  ,  , R, R, Y,  ] - 5
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , Y, Y, Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  , R,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y, Y, Y,  ,  ,  ,  , R, R, Y,  ] - 3
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , R,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , Y, Y, Y,  ,  ,  ,  , Y, R, R,  ,  ,  ] - 5
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  , R,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y, Y, Y,  ,  ,  ,  , R, R, Y,  ] - 1
[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , R,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , Y, Y, Y,  , Y,  ,  , Y, R, R,  , R,  ] - 4
